Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City
"Đường Tựu Liệt, Xã Tam Hiệp, Thanh Trì, Hà Nội",40.0,3.5,2.0,Đông,Đông,3.0,4.0,3.0,Have certificate,Full,2.95,Hà Nội
"Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",39.0,,,Đông - Nam,,3.0,,,,,3.6,Hà Nội
"Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh",77.0,,12.0,,,4.0,4.0,5.0,Have certificate,Full,9.0,Hồ Chí Minh
"Đường Tỉnh Lộ 422B, Xã Vân Canh, Hoài Đức, Hà Nội",30.0,5.0,4.0,Nam,Nam,5.0,3.0,4.0,Have certificate,Full,4.1,Hà Nội
"Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh",66.0,,,,,2.0,,,Have certificate,Full,9.2,Hồ Chí Minh
"Phường Phú Lương, Hà Đông, Hà Nội",45.0,3.42,2.0,Đông - Nam,Đông - Nam,5.0,6.0,4.0,Have certificate,Basic,4.5,Hà Nội
"Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",59.0,,5.0,Tây - Bắc,Tây - Bắc,2.0,,,,,3.69,Hồ Chí Minh
"Đường Cư xá Phú Thọ Hòa, Phường 5, Quận 11, Hồ Chí Minh",64.0,4.0,,,,,,,Have certificate,,7.5,Hồ Chí Minh
"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",43.0,4.0,4.0,,Tây,4.0,3.0,4.0,Have certificate,Basic,6.4,Hồ Chí Minh
"Đường Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",64.0,,,,,1.0,2.0,1.0,Have certificate,,3.2,Hồ Chí Minh
"Hẻm 2155, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",30.0,,,,,2.0,2.0,2.0,Have certificate,,2.39,Hồ Chí Minh
"194, Phố Thanh Đàm, Phường Thanh Trì, Hoàng Mai, Hà Nội",26.0,,,,,4.0,3.0,3.0,Have certificate,Basic,3.95,Hà Nội
"Ngõ 189, Đường Hoàng Hoa Thám, Phường Liễu Giai, Ba Đình, Hà Nội",86.0,5.5,3.0,,,3.0,6.0,3.0,Have certificate,Full,9.5,Hà Nội
"Đường Số 27, Phường 6, Gò Vấp, Hồ Chí Minh",20.0,5.0,3.0,Đông - Bắc,Đông - Bắc,1.0,1.0,2.0,Have certificate,Full,2.05,Hồ Chí Minh
"Đường Nguyễn Văn Lượng, Phường 17, Gò Vấp, Hồ Chí Minh",35.7,5.1,5.0,,,3.0,2.0,2.0,Have certificate,Full,4.15,Hồ Chí Minh
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",55.0,6.0,,Đông,,5.0,3.0,4.0,Have certificate,Full,6.9,Hà Nội
"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Định Công, Hoàng Mai, Hà Nội",33.0,,,,,4.0,,,,,4.1,Hà Nội
"Đường Thạnh Lộc 37, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",60.0,5.0,5.0,Tây - Nam,Tây - Nam,2.0,2.0,2.0,Have certificate,Full,3.85,Hồ Chí Minh
"Ngõ 68/79, Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội",40.0,4.79,,,,5.0,5.0,,,,5.2,Hà Nội
"Đường Nguyễn Văn Tạo, Xã Long Thới, Nhà Bè, Hồ Chí Minh",85.0,,12.0,,,2.0,3.0,3.0,Have certificate,,4.7,Hồ Chí Minh
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",57.0,,,,,,3.0,3.0,Have certificate,Full,6.1,Hà Nội
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",42.0,6.0,10.0,,,3.0,3.0,,Have certificate,Full,7.5,Hà Nội
"Dự án Mega Ruby, Phường Phú Hữu, Quận 9, Hồ Chí Minh",86.0,5.5,20.0,Nam,Nam,3.0,4.0,4.0,Have certificate,,9.49,Hồ Chí Minh
"Dự án Mega Ruby, Phường Phú Hữu, Quận 9, Hồ Chí Minh",82.6,5.0,20.0,Tây,Tây,3.0,4.0,3.0,Have certificate,Full,9.3,Hồ Chí Minh
"Đường Quốc lộ 1K, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh",56.5,5.0,4.0,,,3.0,3.0,3.0,Have certificate,Full,5.35,Hồ Chí Minh
"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội",38.0,3.8,2.5,,,5.0,6.0,4.0,Have certificate,Full,6.9,Hà Nội
"Đường Trần Bá Giao, Phường 5, Gò Vấp, Hồ Chí Minh",60.0,4.0,8.0,Đông - Bắc,,2.0,3.0,2.0,Have certificate,,7.8,Hồ Chí Minh
"Dự án Mega Village, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",90.0,7.5,20.0,Tây - Nam,Tây - Nam,3.0,3.0,3.0,Have certificate,Full,8.5,Hồ Chí Minh
"Đường Bùi Quang Là, Phường 12, Gò Vấp, Hồ Chí Minh",57.7,,10.0,,,4.0,4.0,5.0,Have certificate,,7.49,Hồ Chí Minh
"Đường Đê La Thành, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",50.0,4.0,2.5,,,5.0,7.0,5.0,Have certificate,,7.0,Hà Nội
"Đường Đồng Đen, Phường 14, Tân Bình, Hồ Chí Minh",56.12,4.1,8.0,,,4.0,4.0,4.0,Have certificate,Full,8.2,Hồ Chí Minh
"Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội",53.0,4.0,,,,4.0,4.0,4.0,Have certificate,Full,7.5,Hà Nội
"Phường Yên Nghĩa, Hà Đông, Hà Nội",35.0,,2.4,,,5.0,4.0,3.0,Have certificate,,3.3,Hà Nội
"Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",78.0,,,,,2.0,2.0,2.0,Have certificate,,5.2,Hồ Chí Minh
"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh.",85.0,,,,,,,,,,6.2,Hồ Chí Minh
"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.0,12.0,20.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,6.75,Hồ Chí Minh
"Đường  Nguyễn Thiện Thuật, Phường 2, Quận 3, Hồ Chí Minh",30.0,,,,,2.0,2.0,2.0,Have certificate,,7.6,Hồ Chí Minh
"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",31.5,,,,,6.0,3.0,5.0,Have certificate,Full,6.8,Hà Nội
"Hẻm 1/, Đường Trương Văn Thành, Phường Hiệp Phú, Quận 9, Hồ Chí Minh",78.0,5.7,5.0,,,4.0,4.0,4.0,,,6.9,Hồ Chí Minh
"Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh",91.0,,7.0,,,4.0,4.0,5.0,,,7.4,Hồ Chí Minh
"Đường Thạnh Xuân 24, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",64.0,,,Tây - Nam,,2.0,3.0,2.0,Have certificate,Full,3.86,Hồ Chí Minh
"Đường Nguyễn Văn Linh, Phường Bình Thuận, Quận 7, Hồ Chí Minh",215.0,,,,,3.0,4.0,5.0,Have certificate,,8.5,Hồ Chí Minh
"Đường Quang Trung, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh",65.0,4.5,,,,1.0,3.0,2.0,,,5.5,Hồ Chí Minh
"Đường Quang Trung, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh",65.0,4.5,,,,1.0,3.0,2.0,,,4.0,Hồ Chí Minh
"Đường 53, Phường Tân Quy, Quận 7, Hồ Chí Minh",85.0,,,,,,4.0,,,,5.9,Hồ Chí Minh
"Đường Số 6, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",51.74,4.0,6.0,,,1.0,2.0,2.0,,Full,2.9,Hồ Chí Minh
"Đường Số 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",95.0,5.8,6.0,,,1.0,2.0,1.0,,,6.3,Hồ Chí Minh
"Sổ đỏ, Đường Dương Khuê, Phường Mai Dịch, Cầu Giấy, Hà Nội",30.0,4.0,,,,5.0,,,,,5.5,Hà Nội
"Đường Xuân Đỉnh, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",40.0,,,,,6.0,,,Have certificate,Full,6.8,Hà Nội
"Mộc Hoàn, Đường Vân Linh, Xã Vân Côn, Hoài Đức, Hà Nội",41.6,,,,,4.0,3.0,3.0,Have certificate,Basic,2.65,Hà Nội
"Đường Hồ Văn Tư, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",95.0,,6.0,,,3.0,4.0,4.0,,,7.7,Hồ Chí Minh
"Dự án Melosa Garden, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",80.0,,12.0,Nam,Nam,3.0,4.0,4.0,Have certificate,Full,7.9,Hồ Chí Minh
"Đường Số 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",58.0,,,,,2.0,3.0,2.0,Have certificate,,4.8,Hồ Chí Minh
"Ngõ 24, Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",36.0,5.0,,,,4.0,3.0,3.0,Have certificate,Basic,4.8,Hà Nội
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",34.0,,,Tây,Tây,5.0,4.0,4.0,,Full,3.0,Hà Nội
"Đường Đặng Văn Bi, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",80.0,4.6,6.0,,,1.0,2.0,1.0,,,5.7,Hồ Chí Minh
"Phố Khương Hạ, Phường Khương Đình, Thanh Xuân, Hà Nội",40.0,,,,,4.0,4.0,,Have certificate,,7.8,Hà Nội
"Đường Cổ Điển A, Xã Tứ Hiệp, Thanh Trì, Hà Nội",40.0,3.3,2.0,Đông,Nam,5.0,4.0,3.0,Have certificate,Full,3.45,Hà Nội
"Phố Khương Hạ, Phường Khương Đình, Thanh Xuân, Hà Nội",35.0,,,,,,,,Have certificate,,7.0,Hà Nội
"Đường Tựu Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",50.0,3.8,4.0,Tây,Tây - Bắc,4.0,4.0,3.0,Have certificate,Full,5.88,Hà Nội
"Đường Bùi Dương Lịch, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",75.0,5.0,8.0,Tây - Nam,Tây - Nam,2.0,2.0,2.0,Have certificate,Full,5.8,Hồ Chí Minh
"Đường Số 4, Phường Phước Bình, Quận 9, Hồ Chí Minh",88.0,4.0,10.0,Bắc,Bắc,2.0,2.0,2.0,Sale contract,Basic,8.2,Hồ Chí Minh
"HXH 109, Phố Nguyễn Thiện Thuật, Phường 2, Quận 3, Hồ Chí Minh",35.0,,,,,4.0,5.0,5.0,Have certificate,Full,7.5,Hồ Chí Minh
"Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",80.0,8.0,8.0,,,,7.0,5.0,Have certificate,Full,8.1,Hồ Chí Minh
"Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh",14.0,3.0,,,,1.0,,,Have certificate,,1.65,Hồ Chí Minh
"Đường Nguyễn Hồng Đào, Phường 14, Tân Bình, Hồ Chí Minh",75.0,3.5,5.0,,,2.0,4.0,3.0,Have certificate,Basic,8.5,Hồ Chí Minh
"Lê Trọng Tấn, An Khánh, Hoài Đức, Hà Nội",34.0,,,,,5.0,3.0,4.0,Have certificate,Full,4.12,Hà Nội
"139/6/55, Đường Dương Văn Dương, Phường Tân Quý, Tân Phú, Hồ Chí Minh",62.1,4.1,7.0,,,3.0,3.0,3.0,Have certificate,,5.63,Hồ Chí Minh
"Đường Hoàng Đạo Thành, Phường Kim Giang, Thanh Xuân, Hà Nội",30.0,6.0,5.0,,,3.0,6.0,4.0,Have certificate,Basic,3.75,Hà Nội
"Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy, Hà Nội",50.0,5.0,,,,5.0,5.0,4.0,Have certificate,Full,9.0,Hà Nội
"Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",35.0,,,,,5.0,4.0,4.0,Have certificate,Basic,5.5,Hồ Chí Minh
"Dự án An Gia Skyline, Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Hồ Chí Minh",81.2,,,,,,,,,,10.0,Hồ Chí Minh
"Xã Phụng Châu, Chương Mỹ, Hà Nội",52.0,4.5,5.0,Đông - Nam,,4.0,4.0,3.0,Have certificate,Basic,2.7,Hà Nội
"Dự án An Viên, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",108.0,6.7,,,,2.0,1.0,2.0,,,6.5,Hồ Chí Minh
"Phường 24, Bình Thạnh, Hồ Chí Minh",37.0,,,,,2.0,2.0,2.0,,,6.5,Hồ Chí Minh
"Đường Lai Xá, Xã Kim Chung, Hoài Đức, Hà Nội.",35.0,,,,,5.0,3.0,4.0,,Full,3.6,Hà Nội
"Đường Đê Mới, Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội",56.0,4.5,3.0,Tây - Nam,Tây - Nam,3.0,3.0,3.0,Have certificate,Basic,3.15,Hà Nội
"Phường Yên Nghĩa, Hà Đông, Hà Nội",50.0,4.0,12.5,,,5.0,,,Have certificate,Full,10.0,Hà Nội
"Đường Nguyễn Hồng Đào, Phường 14, Tân Bình, Hồ Chí Minh",91.2,4.8,6.0,,,4.0,4.0,,Have certificate,,8.7,Hồ Chí Minh
"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",75.0,5.5,2.0,,,2.0,3.0,2.0,Have certificate,,6.0,Hà Nội
"Đường 32, Xã Kim Chung, Hoài Đức, Hà Nội",40.0,,,,,5.0,4.0,4.0,,,4.85,Hà Nội
"Đường  Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh",50.2,,10.0,,,3.0,3.0,3.0,Have certificate,Full,7.0,Hồ Chí Minh
"Phường 6, Bình Thạnh, Hồ Chí Minh",30.0,,,,,2.0,2.0,2.0,,,4.25,Hồ Chí Minh
"Đường Nơ Trang Long, Phường 12, Bình Thạnh, Hồ Chí Minh",58.0,,6.0,,,2.0,4.0,4.0,Have certificate,Full,6.4,Hồ Chí Minh
"Thị trấn Chúc Sơn, Chương Mỹ, Hà Nội",53.0,,5.0,Tây - Bắc,,3.0,3.0,3.0,Have certificate,Full,2.7,Hà Nội
"Đường Trung Phụng, Phường Trung Phụng, Đống Đa, Hà Nội",35.0,4.0,3.0,,,5.0,3.0,4.0,Have certificate,Full,5.0,Hà Nội
"Đường Ô Chợ Dừa, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",35.0,4.0,3.0,,,5.0,3.0,4.0,Have certificate,Basic,5.0,Hà Nội
"Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.0,,,,2.0,3.0,2.0,,,5.1,Hồ Chí Minh
"Phường 3, Gò Vấp, Hồ Chí Minh",63.0,,,,,2.0,2.0,2.0,,,6.5,Hồ Chí Minh
"Đường Lê Quang Định, Phường 11, Bình Thạnh, Hồ Chí Minh",74.0,,,,,4.0,6.0,4.0,,,10.0,Hồ Chí Minh
"Đường Nguyễn Thượng Hiền, Phường 5, Phú Nhuận, Hồ Chí Minh",58.0,,,,,5.0,3.0,4.0,,,9.1,Hồ Chí Minh
"Đường Hồ Đắc Di, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",70.8,,,,,2.0,3.0,2.0,Have certificate,Full,6.5,Hồ Chí Minh
"Đường Hoàng Hoa Thám, Phường 5, Phú Nhuận, Hồ Chí Minh",35.0,3.5,,,,4.0,4.0,2.0,,,5.99,Hồ Chí Minh
"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",30.0,,,,,4.0,2.0,3.0,Have certificate,Full,7.5,Hà Nội
"Phố Phố Vọng, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",22.0,3.3,8.0,,,4.0,2.0,2.0,Have certificate,Basic,6.5,Hà Nội
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",31.0,,,,,5.0,3.0,4.0,Have certificate,Full,7.55,Hà Nội
"Đường Trần Tấn, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",76.4,10.2,6.0,Đông,Đông,1.0,2.0,1.0,Have certificate,Full,7.6,Hồ Chí Minh
"Đường Mai Động, Phường Mai Động, Hoàng Mai, Hà Nội",55.0,9.0,4.0,,,4.0,3.0,3.0,Have certificate,Full,9.15,Hà Nội
"Đường Nguyễn Lân, Phường Phương Liệt, Thanh Xuân, Hà Nội",71.0,5.0,,,,1.0,3.0,2.0,Have certificate,Basic,9.45,Hà Nội
"Đường Bờ Sông Sét, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",35.0,4.5,,,,5.0,3.0,3.0,Have certificate,Full,6.6,Hà Nội
"Phố Ngọc Khánh, Phường Ngọc Khánh, Ba Đình, Hà Nội",14.0,,,,,3.0,,,Have certificate,,2.6,Hà Nội
"Đường Số 8, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",56.0,4.0,4.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,,7.4,Hồ Chí Minh
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",55.0,4.9,,,,5.0,4.0,,Have certificate,,9.3,Hà Nội
"Phường Bồ Đề, Long Biên, Hà Nội",38.0,,,,,5.0,,,,,7.6,Hà Nội
"Phố Yên Phú, Xã Liên Ninh, Thanh Trì, Hà Nội",56.3,5.93,6.0,,,,,,Have certificate,,6.0,Hà Nội
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",52.1,12.0,3.0,Tây - Bắc,Tây - Bắc,2.0,3.0,2.0,Have certificate,Full,3.45,Hồ Chí Minh
"Đường Hòa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",51.0,3.3,,,,1.0,2.0,1.0,Have certificate,Full,2.7,Hà Nội
"Đường Tựu Liệt, Xã Tam Hiệp, Thanh Trì, Hà Nội",83.0,5.5,5.0,,,3.0,3.0,3.0,Have certificate,,9.6,Hà Nội
"Đường Thọ Am, Xã Liên Ninh, Thanh Trì, Hà Nội",35.0,3.5,,,,5.0,3.0,4.0,Have certificate,,3.65,Hà Nội
"Đường Số 30, Phường 6, Gò Vấp, Hồ Chí Minh",43.0,8.0,5.0,Tây - Nam,,4.0,3.0,4.0,Have certificate,Full,7.5,Hồ Chí Minh
"Đường Trần Mai Ninh, Phường 12, Tân Bình, Hồ Chí Minh",51.4,4.0,,,,1.0,2.0,1.0,Have certificate,,6.5,Hồ Chí Minh
"Đường Hoàng Bật Đạt, Phường 15, Tân Bình, Hồ Chí Minh",62.0,,,Đông - Nam,,,,,Have certificate,,4.5,Hồ Chí Minh
"Đường Số 1, Phường 11, Gò Vấp, Hồ Chí Minh",42.0,,4.0,,,2.0,3.0,3.0,Have certificate,Full,4.95,Hồ Chí Minh
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",34.1,4.0,10.0,,,5.0,3.0,3.0,Have certificate,Full,4.85,Hà Nội
"Ngõ 1, Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",34.0,,,,,5.0,3.0,4.0,Have certificate,Full,6.6,Hà Nội
"Đường Nguyễn Đình Chi, Phường 9, Quận 6, Hồ Chí Minh",80.0,4.0,8.0,,,3.0,3.0,3.0,,,8.4,Hồ Chí Minh
"Đường Tân Hương, Phường Tân Quý, Tân Phú, Hồ Chí Minh",81.3,4.0,10.0,,,1.0,,,Have certificate,,7.2,Hồ Chí Minh
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",64.0,4.0,6.0,,,4.0,5.0,5.0,,Full,6.7,Hồ Chí Minh
"Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội",18.0,,,,,4.0,3.0,3.0,Have certificate,Full,2.58,Hà Nội
"Phố Trung Liệt, Phường Trung Liệt, Đống Đa, Hà Nội",46.0,6.2,,,,4.0,4.0,4.0,Have certificate,Full,7.68,Hà Nội
"Ngõ 173, Đường Tam Trinh, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",50.0,,,,,5.0,6.0,4.0,Have certificate,Full,4.4,Hà Nội
"Ô số 9A và 9B, Đường Huy Du, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",35.0,3.7,2.0,Đông - Bắc,Đông - Nam,7.0,4.0,5.0,Have certificate,Full,9.6,Hà Nội
"Đường Phan Trọng Tuệ, Xã Tân Triều, Thanh Trì, Hà Nội",45.0,3.6,4.0,,,5.0,4.0,4.0,Have certificate,,6.6,Hà Nội
"Xã Vân Canh, Huyện Hoài Đức, Hà Nội",30.0,4.4,2.0,Đông - Nam,Đông - Nam,5.0,3.0,4.0,Have certificate,Full,4.0,Hà Nội
"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",41.0,,,,,5.0,3.0,4.0,Have certificate,Basic,6.5,Hà Nội
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",48.0,,,,,4.0,4.0,3.0,Have certificate,Full,7.9,Hà Nội
"Đường Lê Lư, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",40.0,4.0,6.0,,,4.0,4.0,5.0,Have certificate,Full,5.79,Hồ Chí Minh
"Phố Tương Mai, Phường Tương Mai, Hoàng Mai, Hà Nội",30.0,4.5,2.5,,,5.0,3.0,4.0,Have certificate,,5.9,Hà Nội
"Dự án Lavila Kiến Á - Nhà Bè, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",105.6,,,,,3.0,,,,,9.0,Hồ Chí Minh
"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",26.0,,3.5,,,3.0,,,Have certificate,,6.0,Hồ Chí Minh
"Xã Vân Côn, Hoài Đức, Hà Nội",40.0,,,,,3.0,3.0,3.0,,Basic,2.3,Hà Nội
"Đường Đại lộ Thăng Long, Xã Song Phương, Hoài Đức, Hà Nội",40.0,4.0,,,,3.0,3.0,2.0,,Basic,1.85,Hà Nội
"Đường Lò Gốm, Phường 8, Quận 6, Hồ Chí Minh",54.0,3.5,3.0,,,3.0,3.0,3.0,Have certificate,Full,4.5,Hồ Chí Minh
"Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",40.0,4.25,2.0,,,5.0,3.0,4.0,Have certificate,,6.2,Hà Nội
"Xã Song Phương, Hoài Đức, Hà Nội",40.0,,,,,3.0,3.0,2.0,Have certificate,,2.45,Hà Nội
"Ngõ 379, Đường Lương Thế Vinh, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",70.0,4.25,1.5,Đông - Nam,,,,,,,1.3,Hà Nội
"Đường Đại lộ Thăng Long, Xã Song Phương, Hoài Đức, Hà Nội",40.0,,,,,4.0,3.0,3.0,Have certificate,Basic,2.9,Hà Nội
"Đường Minh Khai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",33.0,3.8,2.0,,,5.0,3.0,4.0,Have certificate,,5.68,Hà Nội
"Phố Mạc Thị Bưởi, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",32.0,,3.0,,,4.0,3.0,4.0,Have certificate,Full,5.8,Hà Nội
"Dự án Đông Tăng Long, Đường N5, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.0,10.0,10.0,Bắc,Bắc,4.0,4.0,4.0,Have certificate,,6.8,Hồ Chí Minh
"Hẻm 27/36/68/9, Đường Bùi Tư Toàn, Phường An Lạc, Bình Tân, Hồ Chí Minh",52.0,4.0,5.0,Tây,,3.0,4.0,2.0,,,4.86,Hồ Chí Minh
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",40.0,3.3,2.5,,,5.0,3.0,4.0,Have certificate,,7.6,Hà Nội
"Dự án Chung cư 312 Lạc Long Quân, Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",69.4,,,Tây,Tây,,2.0,1.0,Have certificate,Basic,3.9,Hồ Chí Minh
"Đường Bến Phú Lâm, Phường 9, Quận 6, Hồ Chí Minh",54.0,4.0,8.0,,,2.0,2.0,2.0,Have certificate,Full,5.1,Hồ Chí Minh
"Dự án Đông Tăng Long, Đường N5, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",160.0,8.0,12.0,Đông,Đông,4.0,5.0,4.0,Have certificate,,8.5,Hồ Chí Minh
"Đường Tam Trinh, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",42.0,3.3,3.0,,,4.0,4.0,4.0,Have certificate,,6.7,Hà Nội
"Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Hồ Chí Minh",52.0,4.0,,,,3.0,2.0,2.0,Have certificate,,5.4,Hồ Chí Minh
"Đường Lý Sơn, Phường Thượng Thanh, Long Biên, Hà Nội",45.0,,,,,,3.0,,Have certificate,,7.3,Hà Nội
"Dự án PARCSpring, Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",136.0,,,,,,2.0,2.0,Have certificate,,6.4,Hồ Chí Minh
"Đường La Dương, Phường Dương Nội, Hà Đông, Hà Nội",31.0,,,Bắc,,5.0,3.0,3.0,Have certificate,Basic,4.75,Hà Nội
"Xã Phụng Châu, Chương Mỹ, Hà Nội",37.0,,,,,3.0,3.0,3.0,,Basic,2.57,Hà Nội
"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",32.0,3.5,3.0,Đông - Bắc,,5.0,4.0,4.0,Have certificate,Full,3.8,Hà Nội
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",79.0,6.0,6.0,Tây - Nam,Tây - Nam,4.0,4.0,5.0,Have certificate,,6.79,Hồ Chí Minh
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",36.0,4.2,3.0,,,6.0,3.0,3.0,Have certificate,Full,7.5,Hà Nội
"Đường Tân Hòa Đông, Phường 14, Quận 6, Hồ Chí Minh",40.0,,,,,2.0,2.0,2.0,Have certificate,Full,3.2,Hồ Chí Minh
"Đường Chiến Lược, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",84.0,,6.0,,,2.0,3.0,2.0,Have certificate,Basic,4.7,Hồ Chí Minh
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",40.0,45.0,2.0,,,6.0,5.0,5.0,Have certificate,,7.0,Hà Nội
"Phường Dương Nội, Hà Đông, Hà Nội",34.3,,,,,5.0,5.0,,,Full,4.3,Hà Nội
"Đường B2, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",80.0,,14.0,,,3.0,4.0,4.0,Have certificate,Basic,9.5,Hồ Chí Minh
"Đường La Dương, Phường Dương Nội, Hà Đông, Hà Nội",34.0,,3.0,Nam,,5.0,3.0,3.0,Have certificate,Basic,4.85,Hà Nội
"Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh",46.0,,,,,2.0,,,Have certificate,Full,9.9,Hồ Chí Minh
"Đường Xuân Phương, Phường Xuân Phương, Nam Từ Liêm, Hà Nội",30.0,,,,,5.0,3.0,3.0,Have certificate,Full,5.85,Hà Nội
